bin,bid,YearBuilt,BuildingType,NumberofFloors,PropertyGFATotal,SiteEnergyUse(kBtu),geometry,Building Age,Total Carbon
138,633535899,1959,Educational,1,245587,14248368.0,POINT (549730.3111134965 5286026.605808893),63,1537114.5999577134
139,220550079,2002,Commercial,3,69138,2097192.0,POINT (549407.4936528855 5285978.279353626),20,226245.17012155475
140,50321778,1991,Educational,3,66588,2760630.0,POINT (548875.7880701037 5278121.243486545),31,297816.89229821006
141,236747852,1926,Educational,3,44324,1866672.0,POINT (547046.7208276808 5264568.763190321),96,201376.6618417116
142,48787445,1927,Commercial,2,82746,9254855.0,POINT (548034.2083028248 5277726.338348491),95,998414.186171472
145,69273374,1998,Institutional,6,174000,12991102.0,POINT (549852.7244231242 5272950.118271899),24,1401480.6856293892
148,52324865,1991,Educational,2,55513,2113755.0,POINT (547875.2408379699 5279886.821332604),31,228031.98732890788
167,235385493,1910,Commercial,4,72820,1584848.0,POINT (550904.8225804835 5271853.307384188),112,170973.4756649872
168,157314499,1996,Commercial,4,162222,5451525.0,POINT (549084.1979357451 5274955.333598233),26,588110.7695656425
173,221076217,2002,Commercial,2,96300,6708088.0,POINT (555211.0179367531 5280814.328213244),20,723668.844221397
174,226306326,1950,Institutional,1,67356,5347511.0,POINT (551010.3748989116 5271560.804654169),72,576889.7344267408
175,228779142,2008,Educational,3,254523,14357471.0,POINT (552495.8487715798 5272744.355493671),14,1548884.6366523851
176,54905013,2001,Educational,3,78804,4159435.0,POINT (555818.5157570824 5262643.090294226),21,448720.04050394485
177,224205672,2002,Educational,3,66994,3145318.0,POINT (553292.9624774407 5273447.365252286),20,339317.05156055733
178,228333232,2000,Educational,3,103166,5020773.0,POINT (553515.0720565 5264214.272583003),22,541641.2238491797
182,48788081,1980,Commercial,2,52611,5719810.0,POINT (547970.0831589777 5277761.3763238555),42,617053.3677951137
183,224313021,2001,Residential,4,135520,4045297.0,POINT (547813.8533511347 5277672.285802998),21,436406.82777600485
185,715342944,2011,Educational,2,236758,12292757.0,POINT (552921.4148912224 5284046.354972894),11,1326143.1946755152
189,334113673,2002,Educational,3,62526,2890499.0,POINT (548031.863582979 5281738.702250622),20,311827.1660349572
194,1068926823,1951,Educational,1,530039,6222053.0,POINT (550598.2236835519 5284021.212839323),71,671235.3659037084
200,220179204,1996,Commercial,3,55442,3050575.0,POINT (549921.2021567886 5284234.317335551),26,329096.1723311752
205,222561341,1999,Educational,2,242795,10296043.0,POINT (546920.984478742 5280547.035005647),23,1110737.5958490416
209,236755633,1910,Commercial,5,84870,1878655.0,POINT (551323.0746210988 5273446.361610941),112,202669.3884368763
212,234837359,1952,Educational,2,173185,11071347.0,POINT (554028.8446140639 5266127.36762715),70,1194377.4272883765
214,1024109589,1963,Educational,1,145341,7023139.0,POINT (547994.9692118479 5266330.32074291),59,757656.5606975069
216,935062436,1960,Educational,2,184125,9143250.0,POINT (555265.1947536158 5263665.933449783),62,986374.2336008842
217,578290836,1959,Educational,1,160270,7068398.0,POINT (546699.590625925 5282783.740055541),63,762539.1037143272
220,226137035,1937,Commercial,1,234144,4693132.0,POINT (550156.5794754034 5267503.270935074),85,506295.2975897832
225,1249388807,2010,Educational,2,367884,16693938.0,POINT (547789.1856489057 5264164.665908042),12,1800942.8048593963
226,31647268,1958,Educational,1,46797,2393088.0,POINT (547375.6441191346 5262897.601129892),64,258166.4443102259
227,977934793,1963,Educational,3,136188,6970704.0,POINT (552309.1755736166 5271851.284419768),59,751999.8704682272
229,228301138,2004,Educational,2,67371,3220334.0,POINT (554415.0847897418 5265621.903921562),18,347409.7811160003
230,224144186,1969,Commercial,2,52088,1382685.0,POINT (546852.1656845062 5265927.596439637),53,149164.1218589056
231,216499907,2010,Educational,3,127776,5892680.0,POINT (549706.2376234368 5278399.473266225),12,635702.5914040694
232,217604405,1998,Commercial,5,123920,5473142.0,POINT (550406.0912468922 5275364.522607903),24,590442.8125271441
233,25985380,1900,Institutional,1,52690,8153946.0,POINT (549840.9054263219 5275122.918946425),122,879648.072247067
237,222514364,1999,Educational,2,67235,3701060.0,POINT (547050.5668972419 5281323.882840029),23,399270.5242677263
238,37547864,1957,Institutional,2,91130,8174850.0,POINT (549415.2335843984 5283216.326908649),65,881903.1967355357
239,316435171,1991,Educational,3,58118,1817801.0,POINT (546018.8761371768 5265384.152434724),31,196104.45609754964
242,54582951,1989,Educational,2,52792,1325765.0,POINT (550925.4052062365 5282983.727199147),33,143023.58962183865
243,941170468,1925,Educational,1,70762,4526138.0,POINT (552988.9515901314 5265203.118366),97,488279.9771330587
250,103052783,2005,Commercial,9,168449,6766712.0,POINT (550091.3466511152 5271246.078536573),17,729993.2040574092
257,830124332,1916,Commercial,4,79600,1889225.0,POINT (548322.0267267679 5269272.783711743),106,203809.6805265776
260,500461303,1997,Educational,4,241066,8594497.0,POINT (549584.1206775926 5278718.533872318),25,927174.734537511
265,223928482,2003,Residential,7,116947,9354390.0,POINT (549484.8794832282 5273516.050224362),19,1009152.0265828643
267,128369624,1999,Commercial,0,518497,51287904.0,POINT (550103.7638692067 5273475.766885417),23,5532941.459655562
274,215885471,1991,Commercial,3,75397,609995.0,POINT (549393.6259421279 5277717.707173855),31,65806.28886067552
279,1253287696,2002,Educational,2,208981,9801463.0,POINT (546280.9438046048 5269446.3001804575),20,1057382.2825354687
281,54356423,1928,Commercial,2,55653,1480158.0,POINT (551526.1679616333 5279371.166169863),94,159679.5136147669
282,223479986,1931,Commercial,16,106860,8086714.0,POINT (551463.4491144452 5278907.127012059),91,872395.0809722517
283,85688001,1972,Commercial,5,50759,3770300.0,POINT (552893.4546669456 5285304.30363453),50,406740.1386755709
286,235382893,2006,Educational,3,269297,10847160.0,POINT (551580.1012257192 5280655.39715676),16,1170192.123341937
287,220922149,2001,Educational,3,75174,3573122.0,POINT (553131.7900895905 5280070.277010118),21,385468.5669004412
289,50786462,2003,Educational,3,75214,3932821.0,POINT (547651.1202738952 5276541.710486249),19,424272.91168506414
290,172966384,2005,Educational,3,134918,4481735.0,POINT (545856.3552603849 5269020.602300457),17,483489.77943589626
291,228741251,1991,Educational,2,64414,2722167.0,POINT (552639.4382549659 5271076.231895808),31,293667.50207624404
292,222568348,1927,Educational,3,92437,6775050.0,POINT (550866.2695309069 5280651.333543604),95,730892.7078837033
294,232080844,1913,Commercial,9,107572,3824852.0,POINT (550156.497941814 5272937.163165412),109,412625.21096292994
295,232080846,1955,Commercial,15,208328,52518180.0,POINT (549995.774297266 5272834.640164878),67,5665663.6915334575
296,370478197,1917,Residential,4,56617,1821125.0,POINT (547915.6751886957 5268015.7257124605),105,196463.04937154843
